village_id,priority_order,immediate_priority,priority_channel,dashboard_category_idn,dashboard_policy_tier_idn,Stage5_Category,Stage5_PolicyTier
3402050003,4,False,NONE,Monitoring / Tidak Perlu Ekspansi Segera,Monitoring / tanpa ekspansi segera,No Immediate Supply Priority / Monitoring,Monitoring / no immediate supply expansion
3402050002,4,False,NONE,Monitoring / Tidak Perlu Ekspansi Segera,Monitoring / tanpa ekspansi segera,No Immediate Supply Priority / Monitoring,Monitoring / no immediate supply expansion
3402050001,4,False,NONE,Monitoring / Tidak Perlu Ekspansi Segera,Monitoring / tanpa ekspansi segera,No Immediate Supply Priority / Monitoring,Monitoring / no immediate supply expansion
3402070001,4,False,NONE,Monitoring / Tidak Perlu Ekspansi Segera,Monitoring / tanpa ekspansi segera,No Immediate Supply Priority / Monitoring,Monitoring / no immediate supply expansion
3402070002,2,False,DIS,Prioritas Diagnostik Non-Terrain,Prioritas diagnostik,Non-Terrain / Diagnostic Priority,Diagnostic priority
3402070005,2,False,FFAS,Prioritas Diagnostik Non-Terrain,Prioritas diagnostik,Non-Terrain / Diagnostic Priority,Diagnostic priority
3402070004,4,False,NONE,Monitoring / Tidak Perlu Ekspansi Segera,Monitoring / tanpa ekspansi segera,No Immediate Supply Priority / Monitoring,Monitoring / no immediate supply expansion
3402070003,4,False,NONE,Monitoring / Tidak Perlu Ekspansi Segera,Monitoring / tanpa ekspansi segera,No Immediate Supply Priority / Monitoring,Monitoring / no immediate supply expansion
3402130004,4,False,NONE,Monitoring / Tidak Perlu Ekspansi Segera,Monitoring / tanpa ekspansi segera,No Immediate Supply Priority / Monitoring,Monitoring / no immediate supply expansion
3402130001,2,False,FFAS,Prioritas Diagnostik Non-Terrain,Prioritas diagnostik,Non-Terrain / Diagnostic Priority,Diagnostic priority
3402130006,4,False,NONE,Monitoring / Tidak Perlu Ekspansi Segera,Monitoring / tanpa ekspansi segera,No Immediate Supply Priority / Monitoring,Monitoring / no immediate supply expansion
3402130003,2,False,FFAS,Prioritas Diagnostik Non-Terrain,Prioritas diagnostik,Non-Terrain / Diagnostic Priority,Diagnostic priority
3402130008,4,False,NONE,Monitoring / Tidak Perlu Ekspansi Segera,Monitoring / tanpa ekspansi segera,No Immediate Supply Priority / Monitoring,Monitoring / no immediate supply expansion
3402130007,4,False,NONE,Monitoring / Tidak Perlu Ekspansi Segera,Monitoring / tanpa ekspansi segera,No Immediate Supply Priority / Monitoring,Monitoring / no immediate supply expansion
3402130002,2,False,FFAS,Prioritas Diagnostik Non-Terrain,Prioritas diagnostik,Non-Terrain / Diagnostic Priority,Diagnostic priority
3402130005,4,False,NONE,Monitoring / Tidak Perlu Ekspansi Segera,Monitoring / tanpa ekspansi segera,No Immediate Supply Priority / Monitoring,Monitoring / no immediate supply expansion
3402100004,4,False,NONE,Monitoring / Tidak Perlu Ekspansi Segera,Monitoring / tanpa ekspansi segera,No Immediate Supply Priority / Monitoring,Monitoring / no immediate supply expansion
3402100006,4,False,NONE,Monitoring / Tidak Perlu Ekspansi Segera,Monitoring / tanpa ekspansi segera,No Immediate Supply Priority / Monitoring,Monitoring / no immediate supply expansion
3402100001,3,False,NONE,Penguatan Struktural / Jangka Panjang,Penguatan jangka panjang,Structural Development / Long-Term Enabling,Long-term enabling
