village_id,desa,kecamatan,kabupaten,urban_rural,urban_rural_code
3402050003,SUMBERMULYO,BAMBANG LIPURO,BANTUL,Perkotaan,1
3402050002,MULYODADI,BAMBANG LIPURO,BANTUL,Perkotaan,1
3402050001,SIDOMULYO,BAMBANG LIPURO,BANTUL,Perkotaan,1
3402070001,PALBAPANG,BANTUL,BANTUL,Perkotaan,1
3402070002,RINGIN HARJO,BANTUL,BANTUL,Perkotaan,1
3402070005,SABDODADI,BANTUL,BANTUL,Perkotaan,1
3402070004,TRIRENGGO,BANTUL,BANTUL,Perkotaan,1
3402070003,BANTUL,BANTUL,BANTUL,Perkotaan,1
3402130004,WIROKERTEN,BANGUNTAPAN,BANTUL,Perkotaan,1
3402130001,TAMANAN,BANGUNTAPAN,BANTUL,Perkotaan,1
3402130006,POTORONO,BANGUNTAPAN,BANTUL,Perkotaan,1
3402130003,SINGOSAREN,BANGUNTAPAN,BANTUL,Perkotaan,1
3402130008,BANGUNTAPAN,BANGUNTAPAN,BANTUL,Perkotaan,1
3402130007,BATURETNO,BANGUNTAPAN,BANTUL,Perkotaan,1
3402130002,JAGALAN,BANGUNTAPAN,BANTUL,Perkotaan,1
3402130005,JAMBIDAN,BANGUNTAPAN,BANTUL,Perkotaan,1
3402100004,TEMUWUH,DLINGO,BANTUL,Perkotaan,1
3402100006,TERONG,DLINGO,BANTUL,Perkotaan,1
3402100001,MANGUNAN,DLINGO,BANTUL,Perkotaan,1
3402100002,MUNTUK,DLINGO,BANTUL,Perkotaan,1
3402100005,JATIMULYO,DLINGO,BANTUL,Perdesaan,2
3402100003,DLINGO,DLINGO,BANTUL,Perkotaan,1
3402090002,SRIHARJO,IMOGIRI,BANTUL,Perkotaan,1
3402090008,WUKIRSARI,IMOGIRI,BANTUL,Perkotaan,1
3402090006,KARANGTALUN,IMOGIRI,BANTUL,Perkotaan,1
3402090004,KARANG TENGAH,IMOGIRI,BANTUL,Perkotaan,1
3402090003,KEBON AGUNG,IMOGIRI,BANTUL,Perkotaan,1
3402090001,SELOPAMIORO,IMOGIRI,BANTUL,Perdesaan,2
3402090005,GIRIREJO,IMOGIRI,BANTUL,Perkotaan,1
3402090007,IMOGIRI,IMOGIRI,BANTUL,Perkotaan,1
3402080003,SUMBER AGUNG,JETIS,BANTUL,Perkotaan,1
3402080001,PATALAN,JETIS,BANTUL,Perkotaan,1
3402080004,TRIMULYO,JETIS,BANTUL,Perkotaan,1
3402080002,CANDEN,JETIS,BANTUL,Perkotaan,1
3402150003,TAMANTIRTO,KASIHAN,BANTUL,Perkotaan,1
3402150002,TIRTONIRMOLO,KASIHAN,BANTUL,Perkotaan,1
3402150004,NGESTIHARJO,KASIHAN,BANTUL,Perkotaan,1
3402150001,BANGUNJIWO,KASIHAN,BANTUL,Perkotaan,1
3402030002,PARANGTRITIS,KRETEK,BANTUL,Perkotaan,1
3402030001,TIRTOHARGO,KRETEK,BANTUL,Perdesaan,2
3402030005,TIRTOMULYO,KRETEK,BANTUL,Perkotaan,1
3402030004,TIRTOSARI,KRETEK,BANTUL,Perkotaan,1
3402030003,DONOTIRTO,KRETEK,BANTUL,Perkotaan,1
3402160002,SENDANGSARI,PAJANGAN,BANTUL,Perkotaan,1
3402160001,TRIWIDADI,PAJANGAN,BANTUL,Perkotaan,1
3402160003,GUWOSARI,PAJANGAN,BANTUL,Perkotaan,1
3402060004,WIJIREJO,PANDAK,BANTUL,Perkotaan,1
3402060002,TRIHARJO,PANDAK,BANTUL,Perkotaan,1
3402060001,CATURHARJO,PANDAK,BANTUL,Perkotaan,1
3402060003,GILANGHARJO,PANDAK,BANTUL,Perkotaan,1
3402120003,SRIMARTANI,PIYUNGAN,BANTUL,Perkotaan,1
3402120002,SRIMULYO,PIYUNGAN,BANTUL,Perkotaan,1
3402120001,SITIMULYO,PIYUNGAN,BANTUL,Perkotaan,1
3402110001,WONOKROMO,PLERET,BANTUL,Perkotaan,1
3402110005,WONOLELO,PLERET,BANTUL,Perdesaan,2
3402110002,PLERET,PLERET,BANTUL,Perkotaan,1
3402110003,SEGOROYOSO,PLERET,BANTUL,Perkotaan,1
3402110004,BAWURAN,PLERET,BANTUL,Perkotaan,1
3402040003,SRIHARDONO,PUNDONG,BANTUL,Perkotaan,1
3402040002,PANJANGREJO,PUNDONG,BANTUL,Perkotaan,1
3402040001,SELOHARJO,PUNDONG,BANTUL,Perkotaan,1
3402020004,MURTIGADING,SANDEN,BANTUL,Perkotaan,1
3402020003,SRIGADING,SANDEN,BANTUL,Perkotaan,1
3402020002,GADINGHARJO,SANDEN,BANTUL,Perkotaan,1
3402020001,GADINGSARI,SANDEN,BANTUL,Perkotaan,1
3402170002,ARGOREJO,SEDAYU,BANTUL,Perkotaan,1
3402170003,ARGOSARI,SEDAYU,BANTUL,Perkotaan,1
3402170001,ARGODADI,SEDAYU,BANTUL,Perkotaan,1
3402170004,ARGOMULYO,SEDAYU,BANTUL,Perkotaan,1
3402140004,PANGGUNGHARJO,SEWON,BANTUL,Perkotaan,1
3402140001,PENDOWOHARJO,SEWON,BANTUL,Perkotaan,1
3402140002,TIMBULHARJO,SEWON,BANTUL,Perkotaan,1
3402140003,BANGUNHARJO,SEWON,BANTUL,Perkotaan,1
3402010001,PONCOSARI,SRANDAKAN,BANTUL,Perkotaan,1
3402010002,TRIMURTI,SRANDAKAN,BANTUL,Perkotaan,1
3403090006,SIRAMAN,WONOSARI,GUNUNGKIDUL,Perkotaan,1
3403090008,BALEHARJO,WONOSARI,GUNUNGKIDUL,Perkotaan,1
3403090004,WARENG,WONOSARI,GUNUNGKIDUL,Perkotaan,1
3403090010,WONOSARI,WONOSARI,GUNUNGKIDUL,Perkotaan,1
3403090003,DUWET,WONOSARI,GUNUNGKIDUL,Perkotaan,1
3403090014,GARI,WONOSARI,GUNUNGKIDUL,Perkotaan,1
3403090007,KARANGREJEK,WONOSARI,GUNUNGKIDUL,Perkotaan,1
3403090013,KARANGTENGAH,WONOSARI,GUNUNGKIDUL,Perkotaan,1
3403090011,KEPEK,WONOSARI,GUNUNGKIDUL,Perkotaan,1
3403090002,MULO,WONOSARI,GUNUNGKIDUL,Perkotaan,1
3403090012,PIYAMAN,WONOSARI,GUNUNGKIDUL,Perkotaan,1
3403090005,PULUTAN,WONOSARI,GUNUNGKIDUL,Perdesaan,2
3403090009,SELANG,WONOSARI,GUNUNGKIDUL,Perkotaan,1
3403090001,WUNUNG,WONOSARI,GUNUNGKIDUL,Perdesaan,2
3403130001,KEDUNGKERIS,NGLIPAR,GUNUNGKIDUL,Perdesaan,2
3403130007,NATAH,NGLIPAR,GUNUNGKIDUL,Perdesaan,2
3403130002,NGLIPAR,NGLIPAR,GUNUNGKIDUL,Perkotaan,1
3403130003,PENGKOL,NGLIPAR,GUNUNGKIDUL,Perdesaan,2
3403130006,PILANGREJO,NGLIPAR,GUNUNGKIDUL,Perdesaan,2
3403130005,KATONGAN,NGLIPAR,GUNUNGKIDUL,Perkotaan,1
3403130004,KEDUNGPOH,NGLIPAR,GUNUNGKIDUL,Perkotaan,1
3403100012,BANARAN,PLAYEN,GUNUNGKIDUL,Perkotaan,1
3403100009,BANDUNG,PLAYEN,GUNUNGKIDUL,Perkotaan,1
3403100001,BANYUSOCO,PLAYEN,GUNUNGKIDUL,Perdesaan,2
3403100003,BLEBERAN,PLAYEN,GUNUNGKIDUL,Perdesaan,2
3403100005,DENGOK,PLAYEN,GUNUNGKIDUL,Perdesaan,2
3403100011,GADING,PLAYEN,GUNUNGKIDUL,Perkotaan,1
3403100004,GETAS,PLAYEN,GUNUNGKIDUL,Perdesaan,2
3403100010,LOGANDENG,PLAYEN,GUNUNGKIDUL,Perkotaan,1
3403100008,NGAWU,PLAYEN,GUNUNGKIDUL,Perkotaan,1
3403100013,NGLERI,PLAYEN,GUNUNGKIDUL,Perdesaan,2
3403100006,NGUNUT,PLAYEN,GUNUNGKIDUL,Perkotaan,1
3403100007,PLAYEN,PLAYEN,GUNUNGKIDUL,Perkotaan,1
3403100002,PLEMBUTAN,PLAYEN,GUNUNGKIDUL,Perkotaan,1
3403110011,TERBAH,PATUK,GUNUNGKIDUL,Perdesaan,2
3403110003,BEJI,PATUK,GUNUNGKIDUL,Perdesaan,2
3403110004,BUNDER,PATUK,GUNUNGKIDUL,Perdesaan,2
3403110010,NGLANGGERAN,PATUK,GUNUNGKIDUL,Perdesaan,2
3403110005,NGLEGI,PATUK,GUNUNGKIDUL,Perdesaan,2
3403110009,NGORO ORO,PATUK,GUNUNGKIDUL,Perdesaan,2
3403110008,PATUK,PATUK,GUNUNGKIDUL,Perkotaan,1
3403110002,PENGKOK,PATUK,GUNUNGKIDUL,Perdesaan,2
3403110006,PUTAT,PATUK,GUNUNGKIDUL,Perkotaan,1
3403110007,SALAM,PATUK,GUNUNGKIDUL,Perkotaan,1
3403110001,SEMOYO,PATUK,GUNUNGKIDUL,Perdesaan,2
3403020005,SODO,PALIYAN,GUNUNGKIDUL,Perkotaan,1
3403020007,GROGOL,PALIYAN,GUNUNGKIDUL,Perkotaan,1
3403020002,KARANGASEM,PALIYAN,GUNUNGKIDUL,Perkotaan,1
3403020001,KARANGDUWET,PALIYAN,GUNUNGKIDUL,Perdesaan,2
3403020003,MULUSAN,PALIYAN,GUNUNGKIDUL,Perdesaan,2
3403020006,PAMPANG,PALIYAN,GUNUNGKIDUL,Perdesaan,2
3403020004,GIRING,PALIYAN,GUNUNGKIDUL,Perdesaan,2
3403010006,GIRIHARJO,PANGGANG,GUNUNGKIDUL,Perkotaan,1
3403010011,GIRISUKO,PANGGANG,GUNUNGKIDUL,Perdesaan,2
3403010009,GIRIKARTO,PANGGANG,GUNUNGKIDUL,Perdesaan,2
3403010008,GIRIMULYO,PANGGANG,GUNUNGKIDUL,Perdesaan,2
3403010010,GIRISEKAR,PANGGANG,GUNUNGKIDUL,Perkotaan,1
3403010007,GIRIWUNGU,PANGGANG,GUNUNGKIDUL,Perdesaan,2
3403040005,SIDOHARJO,TEPUS,GUNUNGKIDUL,Perkotaan,1
3403040006,TEPUS,TEPUS,GUNUNGKIDUL,Perdesaan,2
3403040008,GIRIPANGGUNG,TEPUS,GUNUNGKIDUL,Perdesaan,2
3403040007,PURWODADI,TEPUS,GUNUNGKIDUL,Perdesaan,2
3403040009,SUMBERWUNGU,TEPUS,GUNUNGKIDUL,Perdesaan,2
3403060001,PACAREJO,SEMANU,GUNUNGKIDUL,Perdesaan,2
3403060005,SEMANU,SEMANU,GUNUNGKIDUL,Perkotaan,1
3403060004,NGEPOSARI,SEMANU,GUNUNGKIDUL,Perkotaan,1
3403060002,CANDIREJO,SEMANU,GUNUNGKIDUL,Perdesaan,2
3403060003,DADAPAYU,SEMANU,GUNUNGKIDUL,Perdesaan,2
3403080002,BEJIHARJO,KARANGMOJO,GUNUNGKIDUL,Perkotaan,1
3403080003,WILADEG,KARANGMOJO,GUNUNGKIDUL,Perkotaan,1
3403080001,BENDUNGAN,KARANGMOJO,GUNUNGKIDUL,Perkotaan,1
3403080004,KELOR,KARANGMOJO,GUNUNGKIDUL,Perkotaan,1
