village_id,TerrainPattern,ConstraintPattern
3402050003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3402050002,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3402050001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3402070001,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402070002,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3402070005,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3402070004,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402070003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402130004,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3402130001,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3402130006,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402130003,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3402130008,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402130007,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402130002,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3402130005,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402100004,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3402100006,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402100001,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3402100002,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3402100005,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3402100003,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3402090002,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3402090008,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402090006,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3402090004,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3402090003,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3402090001,DIS terrain-constrained only,FFAS=Residual; DIS=Terrain
3402090005,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402090007,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402080003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402080001,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402080004,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402080002,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3402150003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402150002,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3402150004,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402150001,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3402030002,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3402030001,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3402030005,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3402030004,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3402030003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402160002,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3402160001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3402160003,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3402060004,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3402060002,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3402060001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3402060003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402120003,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3402120002,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3402120001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3402110001,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3402110005,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402110002,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3402110003,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3402110004,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3402040003,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3402040002,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3402040001,DIS terrain-constrained only,FFAS=Residual; DIS=Terrain
3402020004,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402020003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402020002,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3402020001,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402170002,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3402170003,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3402170001,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3402170004,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3402140004,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402140001,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402140002,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402140003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402010001,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3402010002,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403090006,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403090008,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3403090004,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403090010,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3403090003,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403090014,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403090007,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403090013,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403090011,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3403090002,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403090012,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403090005,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403090009,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403090001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403130001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403130007,DIS terrain-constrained only,FFAS=Residual; DIS=Terrain
3403130002,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403130003,DIS terrain-constrained only,FFAS=Residual; DIS=Terrain
3403130006,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3403130005,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403130004,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403100012,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403100009,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403100001,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403100003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3403100005,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403100011,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3403100004,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403100010,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3403100008,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403100013,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403100006,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403100007,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3403100002,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403110011,Both channels terrain-constrained,FFAS=Terrain; DIS=Terrain
3403110003,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403110004,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3403110010,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3403110005,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3403110009,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3403110008,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403110002,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403110006,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3403110007,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403110001,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403020005,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403020007,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403020002,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403020001,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403020003,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403020006,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403020004,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403010006,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3403010011,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403010009,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403010008,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403010010,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403010007,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403040005,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3403040006,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3403040008,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403040007,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403040009,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403060001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403060005,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3403060004,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403060002,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3403060003,DIS terrain-constrained only,FFAS=Residual; DIS=Terrain
3403080002,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3403080003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403080001,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403080004,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403080008,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403080007,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403080009,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403080006,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403080005,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403070003,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3403070006,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403070004,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403070008,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403070005,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3403070010,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403070007,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3403070009,DIS terrain-constrained only,FFAS=Residual; DIS=Terrain
3403070011,DIS terrain-constrained only,FFAS=Residual; DIS=Terrain
3403070001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403070002,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403050010,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403050012,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403050007,DIS terrain-constrained only,FFAS=Residual; DIS=Terrain
3403050011,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403050015,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403050013,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403050016,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403050014,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3403150008,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403150007,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403150010,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403150001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403150005,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3403150002,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403150004,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403150006,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403150003,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3403150009,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403140005,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403140002,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403140004,DIS terrain-constrained only,FFAS=Residual; DIS=Terrain
3403140003,DIS terrain-constrained only,FFAS=Residual; DIS=Terrain
3403140006,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3403140001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403120004,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3403120005,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3403120002,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
